ID,Name,CountryFixed,DOB,Season,Squad,Comp,LgRank,MP,Gls,LaLiga or Prem
00b0bb87,Fabrizio-Cacciatore,Italy,1986,13,8,"['2. Serie B', '1. Serie A', '1. Serie A', '2. Serie B', '2. Serie B', '2. Serie B', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '2. Serie B']","['8th', '4th', '18th', '2nd', '5th', '2nd', '10th', '7th', '9th', '14th', '13th', '20th', '15th', '14th', '16th']",293,12.0,0
00b159ff,Valdet-Rama,Albania,1987,13,8,"['2. 2. Bundesliga', '1. Bundesliga', '1. Allsvenskan', '1. Allsvenskan', '1. La Liga', '1. La Liga', '2. 2. Bundesliga', '2. 2. Bundesliga', '2. 2. Bundesliga', '1. Super League', '3. 3. Liga', '3. 3. Liga', '3. 3. Liga']","['17th', '15th', '12th', '15th', '14th', '19th', '16th', '15th', '17th', '15th', '7th', '17th', '12th']",257,28.0,1
00b28772,Nemanja-Maksimovic,Serbia,1995,6,2,"['1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga']","['4th', '5th', '8th', '15th', '15th', '16th']",162,5.0,1
00c3d4dc,Sebastian-Soto,United States,2000,4,5,"['Jr. U19 Bundesliga', '1. Bundesliga', '2. 2. Bundesliga', 'Jr. PL2 — Div. 2', '2. Eerste Divisie', '1. Premiership']","['11th', '17th', '6th', '11th', '13th', '7th']",56,24.0,0
00e1cf8f,Josh-Harrop,England,1995,6,4,"['1. Premier League', 'Jr. PL2 — Div. 1', '2. Championship', '2. Championship', '2. Championship', '3. League One', '2. Championship', '2. Championship', '3. League One']","['6th', '6th', '7th', '14th', '9th', '9th', '13th', '13th', '20th']",125,16.0,1
00e3f15c,Alberto-Fontana,Italy,1974,8,3,"['2. Serie B', '1. Serie A', '2. Serie B', '2. Serie B', '1. Serie A', '1. Serie A', '2. Serie B', '1. Serie A']","['10th', '18th', '12th', '2nd', '16th', '15th', '3rd', '19th']",39,0.0,0
00f0482f,Shola-Shoretire,England,2004,3,1,"['1. Premier League', 'Jr. PL2 — Div. 1', '1. Premier League', 'Jr. PL2 — Div. 1', 'Jr. PL2 — Div. 1']","['2nd', '8th', '6th', '6th', '12th']",51,17.0,1
00f518d8,Faride-Alidou,Germany,2001,5,4,"['Jr. U17 Bundesliga', 'Jr. U19 Bundesliga', 'Jr. U19 Bundesliga', '2. 2. Bundesliga', '1. Bundesliga']","['6th', '15th', '20th', '3rd', '8th']",68,16.0,0
01040647,Gennaro-Acampora,Italy,1994,9,4,"['2. Serie B', '2. Serie B', '2. Serie B', '2. Serie B', '2. Serie B', '2. Serie B', '2. Serie B', '1. Serie A', '2. Serie B', '2. Serie B']","['5th', '7th', '4th', '19th', '10th', '6th', '3rd', '15th', '7th', '13th']",166,6.0,0
0108f81e,Vincent-Plante,France,1980,8,5,"['1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '2. Ligue 2', '2. Ligue 2', '2. Ligue 2', '2. Ligue 2']","['18th', '11th', '18th', '20th', '7th', '2nd', '5th', '19th']",137,0.0,0
