Nation,Born,id,Country Name,,
ITA,1978,https://fbref.com/en/players/a060cd8e/Salvatore-Aronica,Italy,FALSE,0
RUS,1981,https://fbref.com/en/players/8fd1ea1f/Andrey-Arshavin,Russia,FALSE,0
ESP,1982,https://fbref.com/en/players/d934d1e6/Mikel-Arteta,Spain,FALSE,0
ESP,1986,https://fbref.com/en/players/01ae64cd/Aythami-Artiles,Spain,FALSE,0
GER,1978,https://fbref.com/en/players/2ce9172f/Gerald-Asamoah,Germany,FALSE,0
GHA,1988,https://fbref.com/en/players/089550f5/Kwadwo-Asamoah,Ghana,FALSE,0
ESP,1989,https://fbref.com/en/players/9f0ea33f/Sergio-Asenjo,Spain,FALSE,0
CMR,1984,https://fbref.com/en/players/a557e6b0/Benoit-Assou-Ekotto,Cameroon,FALSE,0
BRA,1980,https://fbref.com/en/players/41b7a8cf/Paulo-Assuncao,Brazil,FALSE,0
ITA,1987,https://fbref.com/en/players/1522dab2/Davide-Astori,Italy,FALSE,0
GAB,1989,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang,Gabon,FALSE,0
FRA,1978,https://fbref.com/en/players/9bb204e5/Fabien-Audard,France,FALSE,0
MTQ,1983,https://fbref.com/en/players/216f70c6/Johan-Audel,Martinique,FALSE,0
BRA,1988,https://fbref.com/en/players/83a6367a/Renato-Augusto,Brazil,FALSE,0
POL,1988,https://fbref.com/en/players/bb50330a/Blazej-Augustyn,Poland,FALSE,0
BRA,1979,https://fbref.com/en/players/68f0ce09/Fabio-Aurelio,Brazil,FALSE,0
CIV,1992,https://fbref.com/en/players/5c2b4f07/Serge-Aurier,Ivory Coast,FALSE,0
ESP,1992,https://fbref.com/en/players/74b0e3ce/Jon-Aurtenetxe,Spain,FALSE,0
FRA,1991,https://fbref.com/en/players/7dfbba27/Mathias-Autret,France,FALSE,0
SWE,1988,https://fbref.com/en/players/80c9ad77/Denni-Avdic,Sweden,FALSE,0
BRA,1989,https://fbref.com/en/players/eacb45fd/Danilo-Avelar,Brazil,FALSE,0
GER,1992,https://fbref.com/en/players/9fc140dd/Christopher-Avevor,Germany,FALSE,0
SRB,1979,https://fbref.com/en/players/baf76a08/Vlada-Avramov,Serbia,FALSE,0
FRA,1987,https://fbref.com/en/players/aca9ef32/Thomas-Ayasse,France,FALSE,0
GHA,1989,https://fbref.com/en/players/5dbefa9d/Andre-Ayew,Ghana,FALSE,0
GHA,1991,https://fbref.com/en/players/da052c14/Jordan-Ayew,Ghana,FALSE,0
TOG,1988,https://fbref.com/en/players/fd5888a0/Floyd-Ayite,Togo,FALSE,0
TOG,1985,https://fbref.com/en/players/5e887d66/Jonathan-Ayite,Togo,FALSE,0
TUR,1990,https://fbref.com/en/players/a637251f/Onur-Ayik,Turkey,FALSE,0
ESP,1989,https://fbref.com/en/players/53cad200/Cesar-Azpilicueta,Spain,FALSE,0
SEN,1985,https://fbref.com/en/players/8b683d09/Demba-Ba,Senegal,FALSE,0
SEN,1993,https://fbref.com/en/players/422ec08a/Khouma-Babacar,Senegal,FALSE,0
NGA,1982,https://fbref.com/en/players/ead9e515/Haruna-Babangida,Nigeria,FALSE,0
NED,1986,https://fbref.com/en/players/6438d426/Ryan-Babel,Netherlands,FALSE,0
FRA,1983,https://fbref.com/en/players/3d82351b/Maxime-Baca,France,FALSE,0
SVN,1989,https://fbref.com/en/players/80b22225/Armin-Bacinovic,Slovenia,FALSE,0
GER,1989,https://fbref.com/en/players/45b7edae/Holger-Badstuber,Germany,FALSE,0
ESP,1989,https://fbref.com/en/players/df9c9276/Raul-Baena,Spain,FALSE,0
MLI,1979,https://fbref.com/en/players/dc579188/Mamadou-Bagayoko,Mali,FALSE,0
GUI,1988,https://fbref.com/en/players/c4248e7f/Mamadou-Bah,Guinea,FALSE,0
MAR,1981,https://fbref.com/en/players/32634b49/Nabil-Baha,Morocco,FALSE,0
FRA,1993,https://fbref.com/en/players/a8be386b/Jean-Christophe-Bahebeck,France,FALSE,0
CMR,1992,https://fbref.com/en/players/5046b7d4/Stephane-Bahoken,Cameroon,FALSE,0
BEL,1985,https://fbref.com/en/players/1349f9d0/Logan-Bailly,Belgium,FALSE,0
ENG,1984,https://fbref.com/en/players/b18095b6/Leighton-Baines,England,FALSE,0
ITA,1975,https://fbref.com/en/players/98a44c3c/Davide-Baiocco,Italy,FALSE,0
NIR,1982,https://fbref.com/en/players/55fd8c81/Chris-Baird,Northern Ireland,FALSE,0
COD,1991,https://fbref.com/en/players/0af4dcf0/Cedric-Bakambu,Democratic Republic of the Congo,FALSE,0
COM,1989,https://fbref.com/en/players/2c2a312a/Djamel-Bakar,Comoros,FALSE,0
ENG,1991,https://fbref.com/en/players/b18af9e3/Nathan-Baker,England,FALSE,0
SWE,1980,https://fbref.com/en/players/f6792b79/Kennedy-Bakircioglu,Sweden,FALSE,0
GUI,1975,https://fbref.com/en/players/60c76531/Bobo-Balde,Guinea,FALSE,0
WAL,1989,https://fbref.com/en/players/a58bb1e1/Gareth-Bale,Wales,FALSE,0
ESP,1988,https://fbref.com/en/players/1fe67e86/Mikel-Balenziaga,Spain,FALSE,0
GER,1981,https://fbref.com/en/players/2b48fa93/Hanno-Balitsch,Germany,FALSE,0
GER,1976,https://fbref.com/en/players/9d1b8b6b/Michael-Ballack,Germany,FALSE,0
