Season,Squad,Comp,Country,Name,ID,Birth Year,Nation,CountryName,LgRank,MP,Gls
2019-2020,Bochum,2. 2. Bundesliga,de GER,Anthony-Losilla,07c7eb0c,1985,VEN,Venezuela,8th,33,5
2020-2021,Bochum,2. 2. Bundesliga,de GER,Anthony-Losilla,07c7eb0c,1985,VEN,Venezuela,1st,32,4
2021-2022,Bochum,1. Bundesliga,de GER,Anthony-Losilla,07c7eb0c,1985,VEN,Venezuela,13th,33,2
2022-2023,Bochum,1. Bundesliga,de GER,Anthony-Losilla,07c7eb0c,1985,VEN,Venezuela,18th,9,0
2016-2017,RW Essen U19,Jr. U19 Bundesliga,de GER,Marcel-Lotka,5584552e,1984,ALG,Algeria,36th,0,
2016-2017,RW Essen U17,Jr. U17 Bundesliga,de GER,Marcel-Lotka,5584552e,1984,ALG,Algeria,32nd,19,0
2017-2018,Leverkusen U17,Jr. U17 Bundesliga,de GER,Marcel-Lotka,5584552e,1984,ALG,Algeria,8th,25,0
2017-2018,Leverkusen U19,Jr. U19 Bundesliga,de GER,Marcel-Lotka,5584552e,1984,ALG,Algeria,18th,0,
2018-2019,Leverkusen U19,Jr. U19 Bundesliga,de GER,Marcel-Lotka,5584552e,1984,ALG,Algeria,14th,24,0
2019-2020,Leverkusen U19,Jr. U19 Bundesliga,de GER,Marcel-Lotka,5584552e,1984,ALG,Algeria,9th,17,0
2020-2021,Hertha BSC,1. Bundesliga,de GER,Marcel-Lotka,5584552e,1984,ALG,Algeria,14th,0,
2021-2022,Hertha BSC,1. Bundesliga,de GER,Marcel-Lotka,5584552e,1984,ALG,Algeria,16th,10,0
2022-2023,Dortmund II,3. 3. Liga,de GER,Marcel-Lotka,5584552e,1984,ALG,Algeria,19th,4,0
2022-2023,Dortmund,1. Bundesliga,de GER,Marcel-Lotka,5584552e,1984,ALG,Algeria,4th,0,
2021-2022,Bordeaux,1. Ligue 1,fr FRA,Johaneko-Louisjean,9af3613f,1986,SVN,Slovenia,20th,1,0
2022-2023,Bordeaux,2. Ligue 2,fr FRA,Johaneko-Louisjean,9af3613f,1986,SVN,Slovenia,1st,4,0
2021-2022,Sevilla,1. La Liga,es ESP,Luismi,acf5410c,1988,BRA,Brazil,4th,2,0
2020-2021,Lyon,1. Ligue 1,fr FRA,Castello-Lukeba,5b9512c5,1990,BRA,Brazil,4th,0,
2021-2022,Lyon,1. Ligue 1,fr FRA,Castello-Lukeba,5b9512c5,1990,BRA,Brazil,8th,24,2
2022-2023,Lyon,1. Ligue 1,fr FRA,Castello-Lukeba,5b9512c5,1990,BRA,Brazil,9th,9,1
2015-2016,Ufa,1. Premier League,ru RUS,Andrey-Lunyov,8a6ab963,1986,ITA,Italy,12th,0,
2016-2017,Ufa,1. Premier League,ru RUS,Andrey-Lunyov,8a6ab963,1986,ITA,Italy,7th,10,0
2016-2017,Zenit,1. Premier League,ru RUS,Andrey-Lunyov,8a6ab963,1986,ITA,Italy,3rd,10,0
2017-2018,Zenit,1. Premier League,ru RUS,Andrey-Lunyov,8a6ab963,1986,ITA,Italy,5th,20,0
2018-2019,Zenit,1. Premier League,ru RUS,Andrey-Lunyov,8a6ab963,1986,ITA,Italy,1st,29,0
2019-2020,Zenit,1. Premier League,ru RUS,Andrey-Lunyov,8a6ab963,1986,ITA,Italy,1st,19,0
2020-2021,Zenit,1. Premier League,ru RUS,Andrey-Lunyov,8a6ab963,1986,ITA,Italy,1st,12,0
2021-2022,Leverkusen,1. Bundesliga,de GER,Andrey-Lunyov,8a6ab963,1986,ITA,Italy,3rd,1,0
2022-2023,Leverkusen,1. Bundesliga,de GER,Andrey-Lunyov,8a6ab963,1986,ITA,Italy,15th,1,0
2021-2022,Nantes,1. Ligue 1,fr FRA,Yannis-MBemba,080de72a,1989,FRA,France,9th,2,0
2015,Millonarios,1. Primera A,co COL,Deiver-Machado,b3f8bdef,1980,IRL,Ireland,6th,32,0
2016,Millonarios,1. Primera A,co COL,Deiver-Machado,b3f8bdef,1980,IRL,Ireland,4th,25,2
2017,Millonarios,1. Primera A,co COL,Deiver-Machado,b3f8bdef,1980,IRL,Ireland,2nd,20,2
2017-2018,Gent,1. First Division A,be BEL,Deiver-Machado,b3f8bdef,1980,IRL,Ireland,4th,12,0
2018,Nacional,1. Primera A,co COL,Deiver-Machado,b3f8bdef,1980,IRL,Ireland,3rd,14,0
2019,Nacional,1. Primera A,co COL,Deiver-Machado,b3f8bdef,1980,IRL,Ireland,5th,13,0
2020-2021,Toulouse,2. Ligue 2,fr FRA,Deiver-Machado,b3f8bdef,1980,IRL,Ireland,3rd,32,1
2021-2022,Lens,1. Ligue 1,fr FRA,Deiver-Machado,b3f8bdef,1980,IRL,Ireland,7th,22,0
2022-2023,Lens,1. Ligue 1,fr FRA,Deiver-Machado,b3f8bdef,1980,IRL,Ireland,4th,8,1
2007-2008,Den Bosch,2. Eerste Divisie,nl NED,Niki-Maenpaa,14a96e1c,1981,BRA,Brazil,3rd,33,0
2008-2009,Den Bosch,2. Eerste Divisie,nl NED,Niki-Maenpaa,14a96e1c,1981,BRA,Brazil,9th,7,0
2009-2010,Willem II,1. Eredivisie,nl NED,Niki-Maenpaa,14a96e1c,1981,BRA,Brazil,17th,6,0
2010-2011,Willem II,1. Eredivisie,nl NED,Niki-Maenpaa,14a96e1c,1981,BRA,Brazil,18th,12,0
2012-2013,VVV-Venlo,1. Eredivisie,nl NED,Niki-Maenpaa,14a96e1c,1981,BRA,Brazil,17th,33,0
2013-2014,VVV-Venlo,2. Eerste Divisie,nl NED,Niki-Maenpaa,14a96e1c,1981,BRA,Brazil,5th,33,0
2014-2015,VVV-Venlo,2. Eerste Divisie,nl NED,Niki-Maenpaa,14a96e1c,1981,BRA,Brazil,7th,35,0
2015-2016,Brighton,2. Championship,eng ENG,Niki-Maenpaa,14a96e1c,1981,BRA,Brazil,3rd,0,
2016-2017,Brighton,2. Championship,eng ENG,Niki-Maenpaa,14a96e1c,1981,BRA,Brazil,2nd,1,0
2017-2018,Brighton,1. Premier League,eng ENG,Niki-Maenpaa,14a96e1c,1981,BRA,Brazil,15th,0,
2017-2018,Brighton,Jr. PL2 — Div. 2,eng ENG,Niki-Maenpaa,14a96e1c,1981,BRA,Brazil,3rd,2,0
2018-2019,Bristol City,2. Championship,eng ENG,Niki-Maenpaa,14a96e1c,1981,BRA,Brazil,8th,26,0
2019-2020,Bristol City,2. Championship,eng ENG,Niki-Maenpaa,14a96e1c,1981,BRA,Brazil,12th,4,0
2020-2021,Venezia,2. Serie B,it ITA,Niki-Maenpaa,14a96e1c,1981,BRA,Brazil,5th,6,0
2021-2022,Venezia,1. Serie A,it ITA,Niki-Maenpaa,14a96e1c,1981,BRA,Brazil,20th,17,0
2022-2023,Venezia,2. Serie B,it ITA,Niki-Maenpaa,14a96e1c,1981,BRA,Brazil,16th,1,0
2021-2022,Metz,1. Ligue 1,fr FRA,Louis-Mafouta,bec3d251,1983,ARG,Argentina,19th,15,2
2022-2023,Quevilly-Rouen,2. Ligue 2,fr FRA,Louis-Mafouta,bec3d251,1983,ARG,Argentina,12th,9,3
2021-2022,Stuttgart,1. Bundesliga,de GER,Matej-Maglica,36cf2caf,1979,FRA,France,15th,1,0
2021-2022,St. Gallen,1. Swiss Super League,ch SUI,Matej-Maglica,36cf2caf,1979,FRA,France,5th,16,1
2022-2023,St. Gallen,1. Super Lg,ch SUI,Matej-Maglica,36cf2caf,1979,FRA,France,3rd,8,0
2018-2019,Clermont Foot,2. Ligue 2,fr FRA,Yohann-Magnin,caa7aaea,1986,URU,Uruguay,10th,12,0
2019-2020,Clermont Foot,2. Ligue 2,fr FRA,Yohann-Magnin,caa7aaea,1986,URU,Uruguay,5th,21,1
2020-2021,Clermont Foot,2. Ligue 2,fr FRA,Yohann-Magnin,caa7aaea,1986,URU,Uruguay,2nd,30,2
2021-2022,Clermont Foot,1. Ligue 1,fr FRA,Yohann-Magnin,caa7aaea,1986,URU,Uruguay,17th,24,1
2022-2023,Clermont Foot,1. Ligue 1,fr FRA,Yohann-Magnin,caa7aaea,1986,URU,Uruguay,8th,10,0
2016-2017,Lokomotiva,1. 1. HNL,hr CRO,Lovro-Majer,fc46aab1,1989,ESP,Spain,5th,23,3
2017-2018,Lokomotiva,1. 1. HNL,hr CRO,Lovro-Majer,fc46aab1,1989,ESP,Spain,5th,30,11
2018-2019,Dinamo Zagreb,1. 1. HNL,hr CRO,Lovro-Majer,fc46aab1,1989,ESP,Spain,1st,10,1
2019-2020,Dinamo Zagreb,1. 1. HNL,hr CRO,Lovro-Majer,fc46aab1,1989,ESP,Spain,1st,21,2
2020-2021,Dinamo Zagreb,1. 1. HNL,hr CRO,Lovro-Majer,fc46aab1,1989,ESP,Spain,1st,31,7
2021-2022,Dinamo Zagreb,1. 1. HNL,hr CRO,Lovro-Majer,fc46aab1,1989,ESP,Spain,1st,5,3
2021-2022,Rennes,1. Ligue 1,fr FRA,Lovro-Majer,fc46aab1,1989,ESP,Spain,4th,29,6
2022-2023,Rennes,1. Ligue 1,fr FRA,Lovro-Majer,fc46aab1,1989,ESP,Spain,6th,8,0
2021-2022,Montpellier,1. Ligue 1,fr FRA,Beni-Makouana,654f49ca,1984,ESP,Spain,13th,23,0
2022-2023,Montpellier,1. Ligue 1,fr FRA,Beni-Makouana,654f49ca,1984,ESP,Spain,10th,5,0
2017-2018,Cesena,2. Serie B,it ITA,Youssef-Maleh,4c8845f7,1986,ESP,Spain,13th,0,
2019-2020,Venezia,2. Serie B,it ITA,Youssef-Maleh,4c8845f7,1986,ESP,Spain,11th,28,1
2020-2021,Venezia,2. Serie B,it ITA,Youssef-Maleh,4c8845f7,1986,ESP,Spain,5th,29,4
2021-2022,Fiorentina,1. Serie A,it ITA,Youssef-Maleh,4c8845f7,1986,ESP,Spain,7th,28,2
2022-2023,Fiorentina,1. Serie A,it ITA,Youssef-Maleh,4c8845f7,1986,ESP,Spain,13th,6,0
2016-2017,Arsenal,Jr. PL2 — Div. 1,eng ENG,Donyell-Malen,864163f3,1983,ARG,Argentina,4th,11,3
2017-2018,Arsenal,Jr. PL2 — Div. 1,eng ENG,Donyell-Malen,864163f3,1983,ARG,Argentina,1st,2,0
2017-2018,Jong PSV,2. Eerste Divisie,nl NED,Donyell-Malen,864163f3,1983,ARG,Argentina,5th,22,13
2017-2018,PSV Eindhoven,1. Eredivisie,nl NED,Donyell-Malen,864163f3,1983,ARG,Argentina,1st,4,0
2018-2019,PSV Eindhoven,1. Eredivisie,nl NED,Donyell-Malen,864163f3,1983,ARG,Argentina,2nd,31,10
2019-2020,PSV Eindhoven,1. Eredivisie,nl NED,Donyell-Malen,864163f3,1983,ARG,Argentina,4th,14,11
2020-2021,PSV Eindhoven,1. Eredivisie,nl NED,Donyell-Malen,864163f3,1983,ARG,Argentina,2nd,32,19
2021-2022,Dortmund,1. Bundesliga,de GER,Donyell-Malen,864163f3,1983,ARG,Argentina,2nd,27,5
2022-2023,Dortmund,1. Bundesliga,de GER,Donyell-Malen,864163f3,1983,ARG,Argentina,4th,5,0
2017-2018,Union U19,Jr. U19 Bundesliga,de GER,Lennard-Maloney,75402e99,1989,ITA,Italy,35th,23,0
2017-2018,Union Berlin,2. 2. Bundesliga,de GER,Lennard-Maloney,75402e99,1989,ITA,Italy,8th,1,0
2019-2020,Chemnitzer FC,3. 3. Liga,de GER,Lennard-Maloney,75402e99,1989,ITA,Italy,17th,8,0
2021-2022,Dortmund II,3. 3. Liga,de GER,Lennard-Maloney,75402e99,1989,ITA,Italy,9th,27,1
2021-2022,Dortmund,1. Bundesliga,de GER,Lennard-Maloney,75402e99,1989,ITA,Italy,2nd,2,0
2022-2023,Heidenheim,2. 2. Bundesliga,de GER,Lennard-Maloney,75402e99,1989,ITA,Italy,4th,11,0
2021-2022,Valencia,1. La Liga,es ESP,Giorgi-Mamardashvili,d4b73232,1981,BRA,Brazil,9th,18,0
2022-2023,Valencia,1. La Liga,es ESP,Giorgi-Mamardashvili,d4b73232,1981,BRA,Brazil,7th,8,0
2014-2015,Cittadella,2. Serie B,it ITA,Leonardo-Mancuso,311027cb,1986,CIV,Ivory Coast,19th,14,0
2017-2018,Pescara,2. Serie B,it ITA,Leonardo-Mancuso,311027cb,1986,CIV,Ivory Coast,17th,34,9
2018-2019,Pescara,2. Serie B,it ITA,Leonardo-Mancuso,311027cb,1986,CIV,Ivory Coast,4th,35,19
2019-2020,Empoli,2. Serie B,it ITA,Leonardo-Mancuso,311027cb,1986,CIV,Ivory Coast,7th,38,13
2020-2021,Empoli,2. Serie B,it ITA,Leonardo-Mancuso,311027cb,1986,CIV,Ivory Coast,1st,37,20
2021-2022,Empoli,1. Serie A,it ITA,Leonardo-Mancuso,311027cb,1986,CIV,Ivory Coast,14th,8,1
2021-2022,Monza,2. Serie B,it ITA,Leonardo-Mancuso,311027cb,1986,CIV,Ivory Coast,4th,16,1
2022-2023,Como,2. Serie B,it ITA,Leonardo-Mancuso,311027cb,1986,CIV,Ivory Coast,19th,8,1
2019-2020,Aves,1. Primeira Liga,pt POR,Ricardo-Mangas,eef2d8ce,1988,NGA,Nigeria,18th,20,1
2020-2021,Boavista,1. Primeira Liga,pt POR,Ricardo-Mangas,eef2d8ce,1988,NGA,Nigeria,13th,28,4
2021-2022,Bordeaux,1. Ligue 1,fr FRA,Ricardo-Mangas,eef2d8ce,1988,NGA,Nigeria,20th,29,3
2022-2023,Boavista,1. Primeira Liga,pt POR,Ricardo-Mangas,eef2d8ce,1988,NGA,Nigeria,5th,5,0
2012-2013,Rad,1. SuperLiga,rs SRB,Nikola-Maras,b9d0446f,1986,FRA,France,7th,1,0
2013-2014,Rad,1. SuperLiga,rs SRB,Nikola-Maras,b9d0446f,1986,FRA,France,15th,5,0
2014-2015,Rad,1. SuperLiga,rs SRB,Nikola-Maras,b9d0446f,1986,FRA,France,6th,23,1
2015-2016,Rad,1. SuperLiga,rs SRB,Nikola-Maras,b9d0446f,1986,FRA,France,12th,34,4
2016-2017,Rad,1. SuperLiga,rs SRB,Nikola-Maras,b9d0446f,1986,FRA,France,11th,34,2
2017-2018,Rad,1. SuperLiga,rs SRB,Nikola-Maras,b9d0446f,1986,FRA,France,13th,7,0
2017-2018,Chaves,1. Primeira Liga,pt POR,Nikola-Maras,b9d0446f,1986,FRA,France,6th,29,1
2018-2019,Chaves,1. Primeira Liga,pt POR,Nikola-Maras,b9d0446f,1986,FRA,France,16th,28,4
2019-2020,Almería,2. Segunda División,es ESP,Nikola-Maras,b9d0446f,1986,FRA,France,4th,36,2
2020-2021,Almería,2. Segunda División,es ESP,Nikola-Maras,b9d0446f,1986,FRA,France,4th,30,1
2021-2022,Almería,2. Segunda División,es ESP,Nikola-Maras,b9d0446f,1986,FRA,France,1st,0,
2021-2022,Rayo Vallecano,1. La Liga,es ESP,Nikola-Maras,b9d0446f,1986,FRA,France,12th,16,0
2022-2023,Alavés,2. Segunda División,es ESP,Nikola-Maras,b9d0446f,1986,FRA,France,2nd,8,0
2018-2019,Napoli,1. Serie A,it ITA,Davide-Marfella,880fcdbb,1986,GHA,Ghana,2nd,0,
2021-2022,Napoli,1. Serie A,it ITA,Davide-Marfella,880fcdbb,1986,GHA,Ghana,3rd,1,0
2022-2023,Napoli,1. Serie A,it ITA,Davide-Marfella,880fcdbb,1986,GHA,Ghana,1st,0,
2021-2022,Barcelona,1. La Liga,es ESP,Mika-Marmol,e7630876,1987,ESP,Spain,2nd,1,0
2022-2023,Andorra,2. Segunda División,es ESP,Mika-Marmol,e7630876,1987,ESP,Spain,7th,7,0
2020-2021,Paços,1. Primeira Liga,pt POR,Martin,cbec0059,1982,ESP,Spain,5th,8,0
2021-2022,CD Mirandés,2. Segunda División,es ESP,Martin,cbec0059,1982,ESP,Spain,14th,5,0
2021-2022,Cádiz,1. La Liga,es ESP,Martin,cbec0059,1982,ESP,Spain,17th,6,0
2021-2022,Real Sociedad B,2. Segunda División,es ESP,Ander-Martin,e1e75690,1984,ITA,Italy,20th,29,3
2021-2022,Real Sociedad,1. La Liga,es ESP,Ander-Martin,e1e75690,1984,ITA,Italy,6th,5,0
2022-2023,Real Sociedad,1. La Liga,es ESP,Ander-Martin,e1e75690,1984,ITA,Italy,6th,0,
2017-2018,Córdoba,2. Segunda División,es ESP,Andres-Martin,2ae30661,1987,ITA,Italy,16th,0,
2018-2019,Córdoba,2. Segunda División,es ESP,Andres-Martin,2ae30661,1987,ITA,Italy,21st,29,6
2019-2020,Rayo Vallecano,2. Segunda División,es ESP,Andres-Martin,2ae30661,1987,ITA,Italy,7th,27,2
2020-2021,Rayo Vallecano,2. Segunda División,es ESP,Andres-Martin,2ae30661,1987,ITA,Italy,6th,38,4
2021-2022,Rayo Vallecano,1. La Liga,es ESP,Andres-Martin,2ae30661,1987,ITA,Italy,12th,7,0
2021-2022,Tenerife,2. Segunda División,es ESP,Andres-Martin,2ae30661,1987,ITA,Italy,5th,16,2
2021-2022,Atlético Madrid,1. La Liga,es ESP,Carlos-Martin,64035864,1982,ITA,Italy,3rd,1,0
2022-2023,Atlético Madrid,1. La Liga,es ESP,Carlos-Martin,64035864,1982,ITA,Italy,4th,0,
2018-2019,Villarreal,1. La Liga,es ESP,Ivan-Martin,ae48c5cb,1983,ESP,Spain,14th,0,
2019-2020,Villarreal,1. La Liga,es ESP,Ivan-Martin,ae48c5cb,1983,ESP,Spain,5th,0,
2020-2021,CD Mirandés,2. Segunda División,es ESP,Ivan-Martin,ae48c5cb,1983,ESP,Spain,10th,33,4
2021-2022,Alavés,1. La Liga,es ESP,Ivan-Martin,ae48c5cb,1983,ESP,Spain,20th,6,0
2021-2022,Girona,2. Segunda División,es ESP,Ivan-Martin,ae48c5cb,1983,ESP,Spain,6th,15,0
2022-2023,Girona,1. La Liga,es ESP,Ivan-Martin,ae48c5cb,1983,ESP,Spain,14th,0,
2015-2016,Čukarički,1. SuperLiga,rs SRB,Erhan-Masovic,a396fb61,1969,ITA,Italy,3rd,11,0
2016-2017,Čukarički,1. SuperLiga,rs SRB,Erhan-Masovic,a396fb61,1969,ITA,Italy,9th,23,0
2017-2018,Club Brugge,1. First Division A,be BEL,Erhan-Masovic,a396fb61,1969,ITA,Italy,1st,0,
2019-2020,Horsens,1. Superliga,dk DEN,Erhan-Masovic,a396fb61,1969,ITA,Italy,7th,18,0
2020-2021,Club NXT,2. First Division B,be BEL,Erhan-Masovic,a396fb61,1969,ITA,Italy,8th,1,0
2020-2021,Bochum,2. 2. Bundesliga,de GER,Erhan-Masovic,a396fb61,1969,ITA,Italy,1st,8,0
2021-2022,Bochum,1. Bundesliga,de GER,Erhan-Masovic,a396fb61,1969,ITA,Italy,13th,20,0
2022-2023,Bochum,1. Bundesliga,de GER,Erhan-Masovic,a396fb61,1969,ITA,Italy,18th,9,0
2016-2017,Jong Ajax,2. Eerste Divisie,nl NED,Azor-Matusiwa,a17a94d6,1987,GER,Germany,2nd,3,0
2017-2018,Ajax,1. Eredivisie,nl NED,Azor-Matusiwa,a17a94d6,1987,GER,Germany,2nd,1,0
2017-2018,Jong Ajax,2. Eerste Divisie,nl NED,Azor-Matusiwa,a17a94d6,1987,GER,Germany,1st,23,0
2018-2019,Jong Ajax,2. Eerste Divisie,nl NED,Azor-Matusiwa,a17a94d6,1987,GER,Germany,11th,3,0
2018-2019,De Graafschap,1. Eredivisie,nl NED,Azor-Matusiwa,a17a94d6,1987,GER,Germany,17th,16,0
2019-2020,Groningen,1. Eredivisie,nl NED,Azor-Matusiwa,a17a94d6,1987,GER,Germany,9th,23,0
2020-2021,Groningen,1. Eredivisie,nl NED,Azor-Matusiwa,a17a94d6,1987,GER,Germany,7th,22,0
2021-2022,Groningen,1. Eredivisie,nl NED,Azor-Matusiwa,a17a94d6,1987,GER,Germany,12th,3,0
2021-2022,Reims,1. Ligue 1,fr FRA,Azor-Matusiwa,a17a94d6,1987,GER,Germany,12th,29,1
2022-2023,Reims,1. Ligue 1,fr FRA,Azor-Matusiwa,a17a94d6,1987,GER,Germany,15th,4,0
2018-2019,Sporting CP,1. Primeira Liga,pt POR,Luis-Maximiano,3318286e,1977,ISR,Israel,3rd,0,
2019-2020,Sporting CP,1. Primeira Liga,pt POR,Luis-Maximiano,3318286e,1977,ISR,Israel,4th,23,0
2020-2021,Sporting CP,1. Primeira Liga,pt POR,Luis-Maximiano,3318286e,1977,ISR,Israel,1st,2,0
2021-2022,Sporting CP,1. Primeira Liga,pt POR,Luis-Maximiano,3318286e,1977,ISR,Israel,2nd,0,
2021-2022,Granada,1. La Liga,es ESP,Luis-Maximiano,3318286e,1977,ISR,Israel,18th,35,0
2022-2023,Lazio,1. Serie A,it ITA,Luis-Maximiano,3318286e,1977,ISR,Israel,4th,1,0
2021-2022,Troyes,1. Ligue 1,fr FRA,Derek-Mazou-Sacko,810edef9,1984,ESP,Spain,15th,2,0
2022-2023,Troyes,1. Ligue 1,fr FRA,Derek-Mazou-Sacko,810edef9,1984,ESP,Spain,12th,0,
2017-2018,Parma,2. Serie B,it ITA,Pasquale-Mazzocchi,eb0ec070,1980,GHA,Ghana,2nd,18,0
2018-2019,Perugia,2. Serie B,it ITA,Pasquale-Mazzocchi,eb0ec070,1980,GHA,Ghana,8th,31,0
2019-2020,Perugia,2. Serie B,it ITA,Pasquale-Mazzocchi,eb0ec070,1980,GHA,Ghana,16th,26,1
2020-2021,Venezia,2. Serie B,it ITA,Pasquale-Mazzocchi,eb0ec070,1980,GHA,Ghana,5th,34,1
2021-2022,Venezia,1. Serie A,it ITA,Pasquale-Mazzocchi,eb0ec070,1980,GHA,Ghana,20th,18,0
2021-2022,Salernitana,1. Serie A,it ITA,Pasquale-Mazzocchi,eb0ec070,1980,GHA,Ghana,17th,15,0
2022-2023,Salernitana,1. Serie A,it ITA,Pasquale-Mazzocchi,eb0ec070,1980,GHA,Ghana,11th,9,1
2021-2022,Metz,1. Ligue 1,fr FRA,Amadou-Mbengue,14d2670e,1984,ITA,Italy,19th,12,0
2022-2023,Reading,2. Championship,eng ENG,Amadou-Mbengue,14d2670e,1984,ITA,Italy,5th,2,0
2019-2020,Angers,1. Ligue 1,fr FRA,Jason-Mbock,890bc029,1987,MAR,Morocco,11th,0,
2021-2022,Angers,1. Ligue 1,fr FRA,Jason-Mbock,890bc029,1987,MAR,Morocco,14th,1,0
2020-2021,Reims,1. Ligue 1,fr FRA,Moustapha-Mbow,3f3a2cba,1984,ESP,Spain,14th,0,
2021-2022,Nîmes,2. Ligue 2,fr FRA,Moustapha-Mbow,3f3a2cba,1984,ESP,Spain,9th,12,0
2021-2022,Reims,1. Ligue 1,fr FRA,Moustapha-Mbow,3f3a2cba,1984,ESP,Spain,12th,1,0
2022-2023,Reims,1. Ligue 1,fr FRA,Moustapha-Mbow,3f3a2cba,1984,ESP,Spain,15th,0,
2022-2023,R.F.C. Seraing,1. First Division A,be BEL,Moustapha-Mbow,3f3a2cba,1984,ESP,Spain,14th,3,1
2020-2021,Manchester City,Jr. PL2 — Div. 1,eng ENG,James-Mcatee,96593e89,1979,ESP,Spain,1st,22,7
2021-2022,Manchester City,Jr. PL2 — Div. 1,eng ENG,James-Mcatee,96593e89,1979,ESP,Spain,1st,23,18
2021-2022,Manchester City,1. Premier League,eng ENG,James-Mcatee,96593e89,1979,ESP,Spain,1st,2,0
2022-2023,Sheffield Utd,2. Championship,eng ENG,James-Mcatee,96593e89,1979,ESP,Spain,1st,9,0
2020-2021,Leicester City,Jr. PL2 — Div. 1,eng ENG,Kasey-McAteer,b2c66859,1980,ESP,Spain,12th,16,3
2021-2022,Leicester City,Jr. PL2 — Div. 1,eng ENG,Kasey-McAteer,b2c66859,1980,ESP,Spain,8th,14,2
2021-2022,Leicester City,1. Premier League,eng ENG,Kasey-McAteer,b2c66859,1980,ESP,Spain,8th,1,0
2021-2022,FG Rovers,4. League Two,eng ENG,Kasey-McAteer,b2c66859,1980,ESP,Spain,1st,9,0
2022-2023,Leicester City U21,Jr. PL2 — Div. 1,eng ENG,Kasey-McAteer,b2c66859,1980,ESP,Spain,10th,8,3
2018-2019,Carlisle United,4. League Two,eng ENG,Liam-McCarron,076bb352,1980,VEN,Venezuela,11th,16,0
2020-2021,Leeds Utd U23,Jr. PL2 — Div. 2,eng ENG,Liam-McCarron,076bb352,1980,VEN,Venezuela,1st,14,3
2021-2022,Leeds Utd U23,Jr. PL2 — Div. 1,eng ENG,Liam-McCarron,076bb352,1980,VEN,Venezuela,13th,21,1
2021-2022,Leeds United,1. Premier League,eng ENG,Liam-McCarron,076bb352,1980,VEN,Venezuela,17th,1,0
2022-2023,Port Vale,3. League One,eng ENG,Liam-McCarron,076bb352,1980,VEN,Venezuela,16th,1,0
2018-2019,Motherwell,1. Premiership,sct SCO,Stuart-McKinstry,1000a059,1979,ESP,Spain,8th,0,
2020-2021,Leeds Utd U23,Jr. PL2 — Div. 2,eng ENG,Stuart-McKinstry,1000a059,1979,ESP,Spain,1st,19,2
2021-2022,Leeds Utd U23,Jr. PL2 — Div. 1,eng ENG,Stuart-McKinstry,1000a059,1979,ESP,Spain,13th,21,2
2021-2022,Leeds United,1. Premier League,eng ENG,Stuart-McKinstry,1000a059,1979,ESP,Spain,17th,1,0
2022-2023,Motherwell,1. Premiership,sct SCO,Stuart-McKinstry,1000a059,1979,ESP,Spain,7th,5,0
2019-2020,Sporting CP,1. Primeira Liga,pt POR,Nuno-Mendes,f20e4cc9,1983,ESP,Spain,4th,9,0
2020-2021,Sporting CP,1. Primeira Liga,pt POR,Nuno-Mendes,f20e4cc9,1983,ESP,Spain,1st,29,1
2021-2022,Sporting CP,1. Primeira Liga,pt POR,Nuno-Mendes,f20e4cc9,1983,ESP,Spain,2nd,2,0
2021-2022,Paris S-G,1. Ligue 1,fr FRA,Nuno-Mendes,f20e4cc9,1983,ESP,Spain,1st,27,0
2022-2023,Paris S-G,1. Ligue 1,fr FRA,Nuno-Mendes,f20e4cc9,1983,ESP,Spain,1st,9,1
2021-2022,Alavés,1. La Liga,es ESP,Tomas-Mendes,45f771db,1978,ITA,Italy,20th,1,0
2018-2019,Lens,2. Ligue 2,fr FRA,Arial-Mendy,9f0f4b49,1991,ESP,Spain,5th,14,0
2019-2020,Lens,2. Ligue 2,fr FRA,Arial-Mendy,9f0f4b49,1991,ESP,Spain,2nd,7,0
2019-2020,Orléans,2. Ligue 2,fr FRA,Arial-Mendy,9f0f4b49,1991,ESP,Spain,20th,8,1
2020-2021,Servette FC,1. Swiss Super League,ch SUI,Arial-Mendy,9f0f4b49,1991,ESP,Spain,3rd,23,0
2021-2022,Clermont Foot,1. Ligue 1,fr FRA,Arial-Mendy,9f0f4b49,1991,ESP,Spain,17th,18,0
2022-2023,Clermont Foot,1. Ligue 1,fr FRA,Arial-Mendy,9f0f4b49,1991,ESP,Spain,8th,4,0
2017-2018,RB Salzburg,1. Bundesliga,at AUT,Gideon-Mensah,9bdd8118,1989,ITA,Italy,1st,0,
2018-2019,Sturm Graz,1. Bundesliga,at AUT,Gideon-Mensah,9bdd8118,1989,ITA,Italy,5th,13,0
2019-2020,RB Salzburg,1. Bundesliga,at AUT,Gideon-Mensah,9bdd8118,1989,ITA,Italy,1st,0,
2019-2020,Zulte Waregem,1. First Division A,be BEL,Gideon-Mensah,9bdd8118,1989,ITA,Italy,9th,19,0
2020-2021,Vitória,1. Primeira Liga,pt POR,Gideon-Mensah,9bdd8118,1989,ITA,Italy,7th,22,0
2021-2022,Bordeaux,1. Ligue 1,fr FRA,Gideon-Mensah,9bdd8118,1989,ITA,Italy,20th,23,0
2022-2023,Auxerre,1. Ligue 1,fr FRA,Gideon-Mensah,9bdd8118,1989,ITA,Italy,16th,4,0
2020-2021,Nantes,1. Ligue 1,fr FRA,Quentin-Merlin,0bfca6a1,1984,ESP,Spain,18th,0,
