2ce9172f,Germany,1978
089550f5,Ghana,1988
9f0ea33f,Spain,1989
a557e6b0,Cameroon,1984
41b7a8cf,Brazil,1980
1522dab2,Italy,1987
d5dd5f1f,Gabon,1989
9bb204e5,France,1978
216f70c6,Martinique,1983
83a6367a,Brazil,1988
bb50330a,Poland,1988
68f0ce09,Brazil,1979
5c2b4f07,Ivory Coast,1992
74b0e3ce,Spain,1992
7dfbba27,France,1991
80c9ad77,Sweden,1988
eacb45fd,Brazil,1989
9fc140dd,Germany,1992
baf76a08,Serbia,1979
aca9ef32,France,1987
5dbefa9d,Ghana,1989
da052c14,Ghana,1991
fd5888a0,Togo,1988
5e887d66,Togo,1985
a637251f,Turkey,1990
53cad200,Spain,1989
8b683d09,Senegal,1985
422ec08a,Senegal,1993
ead9e515,Nigeria,1982
6438d426,Netherlands,1986
3d82351b,France,1983
80b22225,Slovenia,1989
45b7edae,Germany,1989
df9c9276,Spain,1989
dc579188,Mali,1979
c4248e7f,Guinea,1988
32634b49,Morocco,1981
a8be386b,France,1993
5046b7d4,Cameroon,1992
1349f9d0,Belgium,1985
b18095b6,England,1984
98a44c3c,Italy,1975
55fd8c81,Northern Ireland,1982
0af4dcf0,Democratic Republic of the Congo,1991
2c2a312a,Comoros,1989
b18af9e3,England,1991
f6792b79,Sweden,1980
60c76531,Guinea,1975
a58bb1e1,Wales,1989
1fe67e86,Spain,1988
2b48fa93,Germany,1981
9d1b8b6b,Germany,1976
29863c56,Spain,1975
4e7bfc23,France,1980
78e68b4d,Nigeria,1988
8ff07990,Italy,1990
fbef4f9f,Italy,1981
b85d1f36,Brazil,1988
db50d95f,Burkina Faso,1982
fa937f7a,Argentina,1988
d255c356,Guinea,1985
9469fb13,Scotland,1989
0f348db8,Croatia,1980
44557475,Brazil,1981
7b72f0b6,England,1986
1ae30132,Scotland,1985
3f7cd8f1,Germany,1989
e663724a,Jamaica,1988
6b594e37,Switzerland,1985
d99f9282,Spain,1983
ff70b131,Mexico,1987
618feb69,Paraguay,1984
7dbbe367,England,1981
acc7b7ec,Germany,1987
aef37fbb,Germany,1979
93bfa675,England,1982
b742cc0d,Spain,1991
7c0000fd,Italy,1981
d73f999f,Argentina,1983
1aa84968,England,1988
0d9168da,Greece,1976
0d521662,Cameroon,1986
89063b3e,Germany,1988
014a3e8c,Brazil,1983
3cd2fd3b,France,1975
0f9b8301,Italy,1992
47064058,Germany,1990
0300e2dc,Germany,1987
185990eb,England,1992
74577256,Senegal,1985
2515040a,France,1988
e4d6e7d9,United States,1982
7c881089,England,1978
c8404849,Chile,1984
d8712bf9,Cape Verde,1990
00a6485f,Germany,1987
393303c7,Jamaica,1983
2dc8077c,Spain,1989
0d57f1c1,Cameroon,1984
a6979454,Czech Republic,1983
4d0b594c,Italy,1974
7b4de647,Bosnia and Herzegovina,1987
d3d758d8,Switzerland,1985
e27b6ccd,Germany,1990
788d51fa,Italy,1977
e204ec12,Morocco,1990
a901d685,France,1982
7f1c3bca,Italy,1989
279857a1,Italy,1987
74dc806c,France,1987
2277a390,Israel,1982
d189a874,Tunisia,1982
b5902f7f,Switzerland,1992
61d618fa,Tunisia,1984
942b4f90,France,1990
132e4111,Tunisia,1988
b7e7937d,Switzerland,1983
8309b068,Tunisia,1987
ddb3cf91,Italy,1981
3b15ef2d,Morocco,1987
8414bb13,Israel,1980
c50281a0,Germany,1989
070ec0b1,Germany,1989
9f9c57f0,Denmark,1988
9889b832,Namibia,1978
fe97f10b,England,1984
69166246,England,1978
7a8ecf0b,Italy,1985
a00fbcec,England,1984
42bcb825,Italy,1981
70d74ece,France,1987
5348aada,Switzerland,1988
f5781978,Bulgaria,1981
9036cb27,France,1981
906da49c,Italy,1992
04a65a8f,Spain,1986
833676b4,Morocco,1989
5d0d1ec7,Switzerland,1983
da001952,Argentina,1984
c4d64855,France,1983
dec04537,Argentina,1986
7b8f85c7,Italy,1983
8455984a,Scotland,1985
25e4a7a1,France,1984
c75b6a02,Italy,1991
089f82b2,Argentina,1986
01226327,England,1989
7ca9f0f0,Bosnia and Herzegovina,1992
0780ab75,Ireland,1986
459b0b19,Senegal,1977
6b99d135,France,1988
5e6f51b1,Italy,1984
4b799ee6,Italy,1977
7aac47fe,Bosnia and Herzegovina,1990
bd0e3290,Germany,1986
5978dc3c,Republic of the Congo,1992
6eb984d5,France,1977
7c046c85,Czech Republic,1983
37e6a4eb,Croatia,1980
c0a57418,Denmark,1988
7e8050c6,Russia,1985
b4c3070a,Italy,1983
7f4f3e49,Senegal,1987
455a2b79,Slovenia,1986
a51728e3,Serbia,1983
ddc0a1fd,England,1976
7aae335a,Italy,1980
2b350e6b,Poland,1985
59ab6332,Portugal,1977
ad9f3501,Ghana,1981
27f0fcda,Ghana,1993
e9ef3a0d,Ghana,1983
2db2fd7b,Germany,1988
f4ec4fd0,Ghana,1987
9b285700,Paraguay,1987
0d627659,France,1988
c76a89aa,United States,1979
53452521,France,1991
f3642ba8,France,1982
e6a25eeb,Poland,1987
ad19ca64,Belgium,1987
56f99ec7,Hungary,1987
b7b545b5,Albania,1977
ab028814,Uruguay,1980
7c0d35bc,Bulgaria,1986
3abb0642,Ivory Coast,1983
5686e45d,Equatorial Guinea,1989
8cfe99ee,Argentina,1985
957e1b8d,Germany,1979
a4ac4b8f,Ivory Coast,1991
f23bcfa3,Netherlands,1977
13b0c150,Italy,1981
cfd5e123,Cameroon,1988
104f41dc,Italy,1991
fbb6569e,France,1979
52ec54d0,Italy,1987
904b0bd9,Brazil,1989
dc595d51,Germany,1980
a889ffc7,Italy,1982
34ccf6fa,Poland,1980
284e865d,Argentina,1985
13dd442f,Portugal,1982
6c8622af,France,1988
7f6bff1f,Spain,1989
baca4d08,Algeria,1985
1001ae82,Algeria,1990
fb47718f,Togo,1987
9ccceabb,Netherlands,1981
c268517f,France,1991
