ID,Community,Name,CountryFixed,DOB,Season,Squad,Comp,LgRank,MP,Gls
3eaf8817,2,Lebo-Mothiba,South Africa,1996,6,4,2,"['13th', '11th', '13th', '17th', '2nd', '11th', '10th', '15th', '6th', '14th']",116,30.0
3eb0f2df,0,Vladimir-Darida,Czech Republic,1990,14,3,2,"['5th', '1st', '3rd', '1st', '2nd', '14th', '17th', '7th', '6th', '10th', '11th', '10th', '14th', '16th', '14th']",285,33.0
3eb22ec9,2,Bernardo-Silva,Portugal,1994,10,3,3,"['1st', '3rd', '3rd', '1st', '1st', '1st', '2nd', '1st', '1st', '2nd']",277,55.0
3eb8f912,4,Joao-Silva,Portugal,1990,10,10,5,"['10th', '11th', '2nd', '5th', '7th', '10th', '11th', '14th', '7th', '10th', '12th', '16th', '18th', '4th']",202,29.0
3ebe8651,3,Borja-Fernandez,Spain,1995,6,4,4,"['8th', '6th', '14th', '15th', '7th', '6th']",99,1.0
3ec3c1c9,4,Lucas-Martinez-Quarta,Argentina,1996,8,2,2,"['9th', '2nd', '8th', '4th', '2nd', '13th', '7th', '13th']",114,5.0
3ec9195b,1,Darnell-Furlong,England,1995,9,5,4,"['20th', '9th', '1st', '12th', '22nd', '18th', '16th', '19th', '2nd', '19th', '10th', '22nd']",235,7.0
3ecc11d8,3,Yeray-Alvarez,Spain,1995,8,2,2,"['22nd', '7th', '16th', '8th', '11th', '10th', '8th', '3rd']",180,1.0
3ecc8c5f,2,Mateusz-Wieteska,Poland,1997,8,3,2,"['2nd', '1st', '4th', '2nd', '1st', '1st', '10th', '2nd', '8th']",153,13.0
3ed6e788,4,Guly-do-Prado,Brazil,1981,12,8,7,"['17th', '15th', '3rd', '19th', '21st', '9th', '2nd', '2nd', '2nd', '14th', '8th', '20th', '17th']",249,39.0
3ed84b2c,4,Bobby-Adekanye,Netherlands,1999,6,6,5,"['2nd', '4th', '4th', '6th', '18th', '12th', '19th', '13th']",63,6.0
3ee0dd59,3,Martin-Zubimendi,Spain,1999,5,1,1,"['9th', '6th', '5th', '6th', '6th']",85,3.0
