ID,Name,CountryFixed,DOB,Season,Squad,Comp,LgRank,MP,Gls,LaLiga or Prem,Prem
03a97c40,Danny-Murphy,England,1977,16,6,"['1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '3. Second Division', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '2. Championship']","['3rd', '7th', '4th', '3rd', '2nd', '4th', '5th', '4th', '11th', '13th', '5th', '5th', '17th', '7th', '12th', '8th', '9th', '17th']",461,52.0,1,1
03e48abb,Matty-Daly,England,2001,5,4,"['1. Premier League', '2. Championship', '2. Championship', '4. League Two', '4. League Two', '4. League Two']","['20th', '18th', '20th', '17th', '14th', '22nd']",51,6.0,1,1
03edb878,Daniel-Jebbison,England,2003,3,2,"['1. Premier League', '3. League One', '2. Championship', '2. Championship']","['20th', '16th', '5th', '1st']",35,8.0,1,1
040d8500,Nelson-Valdez,Paraguay,1983,19,9,"['1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. La Liga', '1. Premier League', '1. Premier League', '1. La Liga', '1. Super League', '1. Bundesliga', '1. MLS', '1. MLS', '1. Primera Div', '1. Primera Div', '1. Primera Div', '1. Primera Div']","['6th', '1st', '3rd', '2nd', '9th', '13th', '6th', '5th', '19th', '6th', '6th', '5th', '1st', '9th', '6th', '7th', '2nd', '2nd', '3rd', '1st']",399,82.0,1,1
0412b9cd,Felipe-Vizeu,Brazil,1997,9,6,"['1. Série A', '1. Série A', '1. Série A', '1. Serie A', '1. Série A', '1. Premier League', '1. Série A', '1. Série A', '1. J1 League', '2. J2 League']","['3rd', '6th', '2nd', '12th', '4th', '13th', '11th', '11th', '20th', '2nd']",94,17.0,1,1
0420d84f,Seamus-Coleman,Ireland,1988,14,3,"['2. Championship', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', 'Jr. PL2 — Div. 1']","['6th', '8th', '7th', '7th', '6th', '5th', '11th', '11th', '7th', '8th', '8th', '12th', '10th', '16th', '12th', '4th']",341,22.0,1,1
0442183b,Nathaniel-Clyne,England,1991,14,5,"['2. Championship', '2. Championship', '2. Championship', '2. Championship', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', 'Jr. PL2 — Div. 1', '1. Premier League', '1. Premier League', 'Jr. PL2 — Div. 2', 'Jr. PL2 — Div. 1', '1. Premier League', '1. Premier League']","['15th', '21st', '20th', '17th', '14th', '8th', '7th', '8th', '4th', '4th', '2nd', '4th', '14th', '14th', '3rd', '5th', '12th', '15th']",347,5.0,1,1
046f30a8,Michael-Tonge,England,1983,18,9,"['2. First Division', '2. First Division', '2. First Division', '2. Championship', '2. Championship', '1. Premier League', '2. Championship', '2. Championship', '1. Premier League', '2. Championship', '2. Championship', '2. Championship', '1. Premier League', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '4. League Two', '4. League Two', '4. League Two', '4. League Two']","['13th', '3rd', '8th', '8th', '2nd', '18th', '9th', '3rd', '12th', '14th', '17th', '22nd', '13th', '21st', '13th', '15th', '15th', '22nd', '18th', '10th', '20th', '20th']",476,34.0,1,1
04e195ee,Indiana-Vassilev,United States,2001,6,4,"['Jr. PL2 — Div. 2', '1. Premier League', 'Jr. PL2 — Div. 2', '4. League Two', '3. League One', 'Jr. PL2 — Div. 2', '1. MLS', 'Jr. PL2 — Div. 2', '1. MLS']","['5th', '17th', '7th', '1st', '16th', '9th', '21st', '10th', '6th']",101,13.0,1,1
05380aa0,Richard-Kingson,Ghana,1978,8,8,"['1. Süper Lig', '1. Süper Lig', '1. Süper Lig', '1. Süper Lig', '1. Allsvenskan', '1. Premier League', '1. Premier League', '1. Premier League']","['17th', '13th', '6th', '8th', '6th', '19th', '11th', '19th']",75,0.0,1,1
0558e236,Shaun-Maloney,Scotland,1983,18,5,"['1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '2. Championship', '2. Championship', '1. MLS', '2. Championship', '1. Premier League']","['1st', '1st', '2nd', '1st', '2nd', '1st', '1st', '11th', '6th', '2nd', '2nd', '2nd', '1st', '15th', '18th', '5th', '23rd', '20th', '4th', '18th']",310,63.0,1,1
0562b7f1,Odsonne-Edouard,France,1998,8,4,"['1. Ligue 1', '1. Ligue 1', '1. Premiership', '1. Premiership', '1. Premiership', '1. Premiership', '1. Premiership', '1. Premier League', '1. Premier League']","['1st', '13th', '1st', '1st', '1st', '2nd', '1st', '12th', '15th']",168,74.0,1,1
0566f8a9,Jack-Collison,Wales,1988,8,4,"['1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '2. Championship', '1. Premier League', '1. Premier League', '2. Championship', '2. Championship', '3. League One']","['10th', '9th', '17th', '20th', '3rd', '10th', '13th', '10th', '5th', '13th']",128,11.0,1,1
057a6936,Damien-Duff,Ireland,1979,17,5,"['1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '2. Championship', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. A-League']","['13th', '6th', '19th', '10th', '6th', '2nd', '1st', '1st', '13th', '12th', '18th', '1st', '12th', '8th', '9th', '12th', '19th', '5th']",408,56.0,1,1
059948df,Callum-Slattery,England,1999,7,4,"['Jr. PL2 — Div. 1', 'Jr. PL2 — Div. 2', '1. Premier League', 'Jr. PL2 — Div. 2', '2. Eerste Divisie', 'Jr. PL2 — Div. 1', 'Jr. PL2 — Div. 1', '3. League One', '1. Premiership', '1. Premiership']","['12th', '6th', '16th', '2nd', '2nd', '11th', '13th', '10th', '5th', '7th']",119,12.0,1,1
05ca4fcb,Nick-Powell,England,1994,13,6,"['4. League Two', '4. League Two', '1. Premier League', '2. Championship', '1. Premier League', '1. Premier League', '2. Championship', '2. Championship', '3. League One', '2. Championship', '2. Championship', '2. Championship', 'Jr. PL2 — Div. 2', '2. Championship', '2. Championship']","['10th', '7th', '1st', '5th', '14th', '5th', '4th', '23rd', '1st', '18th', '15th', '14th', '3rd', '14th', '17th']",277,74.0,1,1
05cb19c5,Eljero-Elia,Netherlands,1987,18,9,"['1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Serie A', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Premier League', '1. Eredivisie', '1. Eredivisie', '1. Süper Lig', '1. Süper Lig', '1. Süper Lig', '1. Eredivisie', '2. Eerste Divisie']","['14th', '15th', '18th', '4th', '2nd', '7th', '8th', '15th', '1st', '14th', '12th', '10th', '7th', '3rd', '1st', '3rd', '2nd', '1st', '6th', '4th']",413,58.0,1,1
05e8ca6d,Cameron-Archer,England,2001,5,3,"['Jr. PL2 — Div. 2', 'Jr. PL2 — Div. 2', '5. National League', 'Jr. PL2 — Div. 2', 'Jr. PL2 — Div. 2', '2. Championship', '1. Premier League', '1. Premier League']","['5th', '7th', '11th', '9th', '10th', '13th', '14th', '16th']",79,21.0,1,1
061e8e23,Maximilian-Philipp,Germany,1994,10,4,"['1. Bundesliga', '1. Bundesliga', '2. 2. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Premier League', '1. Premier League', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga']","['14th', '17th', '1st', '7th', '4th', '2nd', '6th', '7th', '4th', '12th', '13th']",194,44.0,1,1
